AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2024;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;NÃO SE APLICA;NÃO SE APLICA;28;ECONOMIA;31005012;528;PUC-RIO;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PARTICULAR;PRIVADA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31005012008P4;ECONOMIA;31005012008M4;ECONOMIA;MESTRADO;7;1978;EM FUNCIONAMENTO;18SEP2012:00:00:00;260376;195990
2024;CIÊNCIAS DA SAÚDE;FISIOTERAPIA E TERAPIA OCUPACIONAL;NÃO SE APLICA;NÃO SE APLICA;21;EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL;22001018;583;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;CE;FORTALEZA;22001018175P7;FISIOTERAPIA E FUNCIONALIDADE;22001018175M7;FISIOTERAPIA E FUNCIONALIDADE;MESTRADO;3;2019;EM FUNCIONAMENTO;06AUG2019:00:00:00;263667;197942
2024;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017086P0;LETRAS NEOLATINAS;31001017086M0;LETRAS NEOLATINAS;MESTRADO;6;1970;EM FUNCIONAMENTO;18JAN2017:00:00:00;262785;197433
2024;CIÊNCIAS AGRÁRIAS;AGRONOMIA;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;41002016;43;UDESC;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUL;SC;LAGES;41002016007P7;PRODUÇÃO VEGETAL;41002016007D8;PRODUÇÃO VEGETAL;DOUTORADO;5;2010;EM FUNCIONAMENTO;29NOV2010:00:00:00;261684;196807
2024;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;NÃO SE APLICA;NÃO SE APLICA;4;QUÍMICA;33144010;4925;UFABC;UNIVERSIDADE FEDERAL DO ABC;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SANTO ANDRÉ;33144010003P0;CIÊNCIA E TECNOLOGIA;33144010003M0;CIÊNCIA E TECNOLOGIA;MESTRADO;6;2007;EM FUNCIONAMENTO;18SEP2012:00:00:00;258882;194812
2024;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;NÃO SE APLICA;NÃO SE APLICA;2;COMPUTAÇÃO;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017110P8;INFORMÁTICA;31001017110D9;INFORMÁTICA;DOUTORADO;4;2010;EM FUNCIONAMENTO;29NOV2010:00:00:00;259034;194908
2024;CIÊNCIAS DA SAÚDE;FARMÁCIA;NÃO SE APLICA;NÃO SE APLICA;19;FARMÁCIA;24001015;579;UFPB-JOÃO PESSOA;UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PB;JOÃO PESSOA;24001015015P5;PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;24001015015M5;PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;MESTRADO;6;1978;EM FUNCIONAMENTO;01FEB2017:00:00:00;258037;194028
2024;CIÊNCIAS HUMANAS;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;42007011;14;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PARTICULAR;PRIVADA;UNIVERSIDADE;SUL;RS;SÃO LEOPOLDO;42007011011P9;CIÊNCIAS SOCIAIS;42007011011D0;CIÊNCIAS SOCIAIS;DOUTORADO;5;2006;EM DESATIVACAO;23DEC2022:00:00:00;257154;193426
2024;CIÊNCIAS SOCIAIS APLICADAS;DESENHO INDUSTRIAL;NÃO SE APLICA;NÃO SE APLICA;29;ARQUITETURA, URBANISMO E DESIGN;24009016;2564;UFCG;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PB;CAMPINA GRANDE;24009016031P1;DESIGN;24009016031M1;DESIGN;MESTRADO;4;2014;EM FUNCIONAMENTO;21MAY2014:00:00:00;258670;194589
2024;CIÊNCIAS AGRÁRIAS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;MANEJO FLORESTAL;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;12002011;NI;INPA;INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA;FEDERAL;PÚBLICA;OUTRA;NORTE;AM;MANAUS;12002011006P9;CIÊNCIAS DE FLORESTAS TROPICAIS;12002011006M9;CIÊNCIAS DE FLORESTAS TROPICAIS;MESTRADO;5;1980;EM FUNCIONAMENTO;18SEP2012:00:00:00;257239;193509
